Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2594.05,1.93,5,2.715008338,3.128421034,0.00074401
2584.01,1.93,5,2.713324186,3.126736881,0.000746901
2644.11,2,5.3,2.698003649,3.121249523,0.000756398
2675.12,1.98,5.3,2.703067399,3.130678078,0.000740154
2544.97,2.08,5.3,2.681406798,3.087619332,0.000817298
2626.06,2.02,5.3,2.695028775,3.113953275,0.000769213
2581.96,1.93,4.99,2.713848964,3.126392201,0.000747494
2499.88,2.64,6.6,2.578375226,2.976315235,0.001056051
2456.86,2.69,6.6,2.570836474,2.96062813,0.001094893
2406.8,2.49,6,2.603288752,2.985240656,0.001034569
2406.8,2.74,6.6,2.561896067,2.94368944,0.001138441
2361.8,2.8,6.6,2.553699183,2.926085087,0.001185536
2371.76,3.18,7.55,2.497123789,2.87264362,0.001340776
2404.83,3.13,7.52,2.50486654,2.885540044,0.001301547
2426.77,2.84,6.9,2.546179527,2.931710277,0.00117028
2417.76,2.73,6.6,2.563869253,2.947250541,0.001129144
2358.73,3.41,8.05,2.46688235,2.839923852,0.001445693
2870.41,2.32,6.67,2.6338181,3.092455949,0.000808247
2476.92,2.47,6.13,2.606451505,3.001215027,0.000997206
2500.89,2.91,7.28,2.535963211,2.934201601,0.001163586
2503.02,2.92,7.32,2.533953239,2.933081468,0.001166591
2535,2.46,6.25,2.608097946,3.013042857,0.000970414
2500,2.45,6.13,2.610479534,3.008773924,0.00098
2499.95,2.73,6.81,2.564784211,2.961768676,0.001092022
2985.63,2.31,6.91,2.635557939,3.111424006,0.000773706
2989.62,2.31,6.92,2.635509896,3.11200401,0.000772673
2537.06,2.58,6.54,2.58875299,2.992711032,0.001016925
2448.86,2.35,5.75,2.629296113,3.017896095,0.00095963
2705.11,1.85,5,2.733214926,3.165013201,0.000683891
2414.8,3.13,7.57,2.503785288,2.88733683,0.001296174
2396.74,2.75,6.6,2.560076988,2.94028823,0.001147392
2383.79,2.77,6.6,2.557724058,2.934788225,0.001162015
2387.73,2.76,6.6,2.55844128,2.937076134,0.00115591
2316.65,2.85,6.6,2.54531649,2.910015565,0.001230225
2449.8,2.86,7,2.54403259,2.932764597,0.001167442
2475.89,2.67,6.6,2.57418741,2.967220084,0.0010784
2519,2.62,6.6,2.581684232,2.982926876,0.001040095
2519,2.1,5.3,2.676952298,3.079008873,0.000833664
2424.75,2.89,7,2.539568928,2.923769125,0.001191875
2441.87,2.87,7,2.542624499,2.929840643,0.001175329
2361.8,2.8,6.6,2.553699183,2.926085087,0.001185536
2420.78,2.73,6.6,2.564411387,2.947792676,0.001127736
2402.81,2.75,6.6,2.561175495,2.941386737,0.001144493
2484.98,2.24,5.57,2.649467703,3.045074879,0.000901416
